motif_ID	motif_ALT_ID	motif_P-value	seq_ID	seq_Score	seq_Class	is_holdout?
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr20:59300070-59300171	15.97	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr12:66189130-66189231	15.96	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr7:95550305-95550406	15.96	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr5:142864749-142864850	15.86	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr20:44467388-44467489	15.86	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr6:12354595-12354696	15.85	tp	1
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr4:153398892-153398993	15.85	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr10:12247412-12247513	15.82	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chrX:107674167-107674268	15.81	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr1:150281823-150281924	15.79	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr9:94135413-94135514	15.78	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr15:69615731-69615832	15.77	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr10:72248910-72249011	15.75	tp	1
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr19:3336877-3336978	15.73	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr6:134676767-134676868	15.71	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr1:213201592-213201693	15.71	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr4:74006219-74006320	15.70	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr3:183765547-183765648	15.64	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr14:67490352-67490453	15.64	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr6:36894086-36894187	15.61	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr7:108309034-108309135	15.61	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr1:9436426-9436527	15.58	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr14:28671599-28671700	15.58	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr16:11834176-11834277	15.58	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr1:52665728-52665829	15.57	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr10:117804834-117804935	15.57	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr20:25278008-25278109	15.57	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr22:47475114-47475215	15.55	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr1:26036610-26036711	15.55	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr15:85331339-85331440	15.54	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr6:85416315-85416416	15.54	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr11:114162955-114163056	15.54	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr17:8154428-8154529	15.52	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr4:160009818-160009919	15.48	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr2:121197599-121197700	15.48	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr9:70480888-70480989	15.48	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr11:122162274-122162375	15.47	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr20:396935-397036	15.47	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr1:13620031-13620132	15.45	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chrX:53071750-53071851	15.45	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr17:74193085-74193186	15.45	fp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr3:183370944-183371045	15.42	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr18:21361342-21361443	15.41	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr5:134509531-134509632	15.41	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr1:160132122-160132223	15.41	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr19:3305300-3305401	15.41	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr2:226738883-226738984	15.40	tp	1
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr5:72949581-72949682	15.35	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr7:131089323-131089424	15.35	tp	1
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr3:188948068-188948169	15.34	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr22:32999254-32999355	15.34	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr14:68144348-68144449	15.34	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr1:97797960-97798061	15.34	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr17:39222265-39222366	15.34	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr3:188267083-188267184	15.34	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr22:23547916-23548017	15.34	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr17:3182904-3183005	15.32	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr5:38667084-38667185	15.32	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr9:129597081-129597182	15.32	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chrX:54420076-54420177	15.31	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr5:107331435-107331536	15.31	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr5:72434896-72434997	15.31	tp	1
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr9:117678952-117679053	15.30	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr5:149792057-149792158	15.30	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr7:94217029-94217130	15.29	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr19:8374333-8374434	15.27	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr12:92030803-92030904	15.27	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr18:10041265-10041366	15.27	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr5:154538397-154538498	15.27	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr11:12853706-12853807	15.25	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr8:47353701-47353802	15.25	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr3:117825496-117825597	15.23	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr1:229844926-229845027	15.22	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr5:172999741-172999842	15.22	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr6:35602030-35602131	15.18	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr5:67248882-67248983	15.18	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr20:44714335-44714436	15.16	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chrX:107573605-107573706	15.15	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr6:123105728-123105829	15.13	tp	1
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr5:96338722-96338823	15.13	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr7:7553545-7553646	15.13	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr6:74774610-74774711	15.13	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr1:91673733-91673834	15.12	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr8:32641609-32641710	15.12	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chrX:150205183-150205284	15.12	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr11:94146072-94146173	15.12	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr4:68963572-68963673	15.09	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr5:14589136-14589237	15.08	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr13:39914094-39914195	15.06	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr20:4171100-4171201	15.05	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr18:26469046-26469147	15.05	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr6:84898311-84898412	15.05	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr19:872621-872722	15.03	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chrX:1555728-1555829	15.02	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr6:107247376-107247477	15.02	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr8:47659482-47659583	15.00	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr3:72337136-72337237	14.99	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr6:106642596-106642697	14.99	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr4:142556242-142556343	14.99	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr8:27282608-27282709	14.99	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr10:21002224-21002325	14.98	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr15:52076996-52077097	14.97	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr11:102301190-102301291	14.95	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr21:38775836-38775937	14.94	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr9:591460-591561	14.93	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr14:91963580-91963681	14.93	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr6:63492616-63492717	14.92	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr11:32290871-32290972	14.92	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr10:118621574-118621675	14.92	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr17:82134239-82134340	14.92	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr16:31118018-31118119	14.90	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr21:34687324-34687425	14.89	tp	1
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr7:47758003-47758104	14.89	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr12:46445660-46445761	14.89	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr17:47955663-47955764	14.88	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr20:8855545-8855646	14.88	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr3:107284564-107284665	14.88	tp	1
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr1:184606946-184607047	14.87	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr17:82297521-82297622	14.86	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chrX:52979758-52979859	14.86	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr12:6376307-6376408	14.86	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr9:110912699-110912800	14.86	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr2:163366152-163366253	14.86	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr20:14288743-14288844	14.86	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr15:89117995-89118096	14.86	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr17:42279885-42279986	14.85	tp	1
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr10:119285007-119285108	14.85	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr2:163659336-163659437	14.83	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr7:138055404-138055505	14.80	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr4:157004662-157004763	14.80	tp	1
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr14:65169061-65169162	14.80	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr9:33163073-33163174	14.79	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr9:130946904-130947005	14.79	fp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr5:159936840-159936941	14.79	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr6:35728060-35728161	14.79	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr17:65463337-65463438	14.78	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr8:60388469-60388570	14.78	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr6:12370108-12370209	14.78	tp	1
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr19:18629946-18630047	14.78	tp	1
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr17:15630147-15630248	14.78	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr10:73118052-73118153	14.77	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr12:15274828-15274929	14.77	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr22:27871448-27871549	14.76	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr1:192861956-192862057	14.76	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr12:91854965-91855066	14.75	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr1:205976332-205976433	14.72	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr10:29946963-29947064	14.72	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr15:75176527-75176628	14.72	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr5:172869228-172869329	14.70	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr4:56728673-56728774	14.69	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr3:142498601-142498702	14.68	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr6:42045798-42045899	14.67	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr17:81057568-81057669	14.66	tp	1
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chrX:103385610-103385711	14.65	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr2:37590311-37590412	14.64	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr16:23256593-23256694	14.62	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr6:89022794-89022895	14.60	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr14:75536008-75536109	14.60	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr22:40053643-40053744	14.59	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr19:12784065-12784166	14.58	fp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr8:128157451-128157552	14.58	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chrX:107677152-107677253	14.57	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr2:104004981-104005082	14.55	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr11:102007654-102007755	14.54	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr7:74635742-74635843	14.54	fp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr15:35690995-35691096	14.54	tp	1
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr17:70687841-70687942	14.53	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr3:4688635-4688736	14.52	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr7:12715877-12715978	14.52	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr6:11365124-11365225	14.51	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr2:203743687-203743788	14.51	tp	1
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr4:87029476-87029577	14.50	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr2:225843175-225843276	14.50	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr15:90015923-90016024	14.50	tp	1
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr6:129447703-129447804	14.49	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr17:16653708-16653809	14.47	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr3:138188198-138188299	14.46	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr2:201126892-201126993	14.45	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr1:8071041-8071142	14.44	tp	1
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chrX:53086622-53086723	14.43	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr15:78798607-78798708	14.43	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr11:62587863-62587964	14.43	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr17:80512287-80512388	14.43	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr4:6633359-6633460	14.43	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr12:54421259-54421360	14.41	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr5:149857632-149857733	14.40	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr9:83986812-83986913	14.39	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr11:17034788-17034889	14.38	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr3:141338920-141339021	14.38	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr4:69726592-69726693	14.36	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr14:104049263-104049364	14.36	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr7:106217335-106217436	14.35	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr7:106418271-106418372	14.33	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr3:15743787-15743888	14.32	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr2:63009665-63009766	14.32	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr9:90925589-90925690	14.32	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr11:116813944-116814045	14.32	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr5:144125104-144125205	14.32	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr13:21033626-21033727	14.32	tp	1
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr12:96196919-96197020	14.31	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr1:9314878-9314979	14.30	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr1:110424816-110424917	14.30	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr10:85648324-85648425	14.29	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr9:70420074-70420175	14.29	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr6:111605396-111605497	14.29	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr1:58930034-58930135	14.29	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr18:50820147-50820248	14.29	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr1:241688919-241689020	14.28	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr10:21184403-21184504	14.28	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr5:121366162-121366263	14.27	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr17:6591639-6591740	14.27	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr1:17476100-17476201	14.27	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr5:154593250-154593351	14.26	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr9:123058933-123059034	14.26	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr6:6915869-6915970	14.26	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chrX:18596275-18596376	14.26	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr5:158775554-158775655	14.26	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr20:50415753-50415854	14.26	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr18:48930568-48930669	14.25	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr5:95646777-95646878	14.21	fp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr8:98402675-98402776	14.20	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr2:43269907-43270008	14.20	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chrX:43708085-43708186	14.18	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr3:187739515-187739616	14.17	tp	1
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr6:33746281-33746382	14.16	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr10:62063952-62064053	14.14	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr9:108040912-108041013	14.14	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr5:77182063-77182164	14.14	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr10:9012485-9012586	14.14	tp	1
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr20:38871099-38871200	14.13	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr12:80627869-80627970	14.13	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr3:195914905-195915006	14.12	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr1:239892764-239892865	14.12	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr3:185658738-185658839	14.10	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr10:44964249-44964350	14.09	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr14:68947866-68947967	14.09	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chrX:43589918-43590019	14.08	tp	1
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr7:130890912-130891013	14.06	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr7:34058147-34058248	14.06	fp	1
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr2:151959353-151959454	14.05	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr11:28701804-28701905	14.05	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr14:32023239-32023340	14.05	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr2:41881324-41881425	14.04	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr15:62899162-62899263	14.04	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr1:204089111-204089212	14.03	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr5:115558753-115558854	14.03	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr2:190468154-190468255	14.03	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr1:51896347-51896448	14.03	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr4:138507628-138507729	14.02	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr2:84958653-84958754	14.00	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr6:123091096-123091197	14.00	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr17:28808948-28809049	13.98	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr1:152168602-152168703	13.98	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr9:446275-446376	13.97	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr13:110014960-110015061	13.97	tp	0
