# This file is generated by MACS version 1.4.0rc2 20110214
# ARGUMENTS LIST:
# name = LoVo_GATA1
# format = BAM
# ChIP-seq file = /wrk2/martin/batch2/aligned/merged//LoVo_GATA1_Rabbit.bam
# control file = /wrk2/martin/batch1/aligned/merged/LoVo_IgG_Rabbit.bam
# effective genome size = 2.75e+09
# band width = 300
# model fold = 2,6
# pvalue cutoff = 1.00e-05
# Small dataset will be scaled towards larger dataset.
# Range for calculating regional lambda is: 1000 bps and 10000 bps

# tag size is determined as 33 bps
# total tags in treatment: 10644150
# tags after filtering in treatment: 10119352
# maximum duplicate tags at the same position in treatment = 1
# Redundant rate in treatment: 0.05
# total tags in control: 25659069
# tags after filtering in control: 22736096
# maximum duplicate tags at the same position in control = 1
# Redundant rate in control: 0.11
# d = 258
chr	start	end	length	summit	tags	-10*log10(pvalue)	fold_enrichment	FDR(%)
1	35269619	35270628	1010	467	19	92.86	3.60	1.66	1.44
1	35743404	35744183	780	557	13	80.06	2.82	1.49	1.44
1	35792478	35793373	896	503	12	54.44	2.87	2.39	2.38
1	35795086	35796167	1082	643	16	87.79	4.22	1.65	1.44
1	35879368	35880346	979	491	19	117.41	3.55	2.02	1.44
1	35953381	35954117	737	338	11	65.62	3.10	1.66	1.66
1	36012629	36013390	762	316	11	80.97	2.91	1.53	1.44
1	36688538	36689357	820	442	15	54.04	2.05	2.42	2.42
1	37928259	37929523	1265	611	22	50.24	2.71	3.12	3.12
1	38062266	38063031	766	246	11	90.65	4.37	1.67	1.44
1	38250592	38251465	874	272	17	82.47	3.10	1.56	1.44
1	39397575	39398290	716	458	11	67.11	2.30	1.61	1.60
1	40090098	40091418	1321	536	29	222.29	4.93	3.25	1.44
1	40399082	40399998	917	443	24	181.93	5.63	3.09	1.44
1	40448651	40449893	1243	649	24	129.77	3.58	2.07	1.44
1	40732887	40733798	912	255	13	66.00	2.47	1.61	1.61
1	40768733	40769961	1229	634	21	112.46	3.55	1.92	1.44
1	40987963	40988706	744	499	11	69.76	2.47	1.52	1.48
1	41459946	41460663	718	425	12	63.69	2.26	1.72	1.71
1	42057830	42058963	1134	479	20	97.29	3.28	1.68	1.44
1	42804931	42805971	1041	636	33	439.21	11.63	2.56	1.44
1	42816024	42816875	852	443	14	109.43	3.19	1.82	1.44
1	43586313	43587027	715	467	11	54.09	2.91	2.40	2.40
1	43596168	43597123	956	390	17	147.43	5.20	2.55	1.44
1	43627662	43628457	796	249	13	87.26	3.49	1.63	1.44
1	44059924	44060817	894	438	19	130.08	4.52	2.08	1.44
1	44183977	44184893	917	231	15	121.29	3.88	2.00	1.44
1	44977024	44978426	1403	614	26	99.70	2.66	1.66	1.44
1	45012926	45014325	1400	786	29	230.70	5.04	3.15	1.44
1	45378083	45378983	901	501	20	169.34	5.43	2.83	1.44
1	45410213	45410930	718	240	11	76.15	3.01	1.44	1.44
1	45573957	45574813	857	407	14	81.90	3.17	1.56	1.44
1	45729120	45730126	1007	537	18	75.50	3.10	1.50	1.48
1	45788396	45789315	920	517	15	54.94	2.33	2.29	2.28
1	45883485	45884191	707	480	11	61.46	2.47	1.75	1.74
1	45896002	45896888	887	564	16	60.54	2.18	1.80	1.80
1	46211293	46212696	1404	718	28	141.85	3.05	2.35	1.44
1	46212918	46213688	771	210	11	62.90	2.35	1.75	1.71
1	46230544	46231318	775	231	12	51.36	2.09	2.88	2.88
1	46914694	46915477	784	326	12	60.16	2.70	1.84	1.83
1	47796645	47797751	1107	560	21	105.28	2.49	1.73	1.44
1	47886692	47887402	711	485	11	56.38	2.32	2.14	2.13
1	47934227	47935942	1716	669	72	710.80	9.21	0.00	0.00
1	47939471	47940013	543	289	13	85.04	3.10	1.60	1.44
1	47964304	47965447	1144	515	19	62.12	2.18	1.73	1.71
1	48640822	48641529	708	245	13	97.86	2.69	1.70	1.44
1	49584835	49585539	705	465	11	99.11	3.88	1.64	1.44
1	50712291	50713185	895	526	15	79.23	2.91	1.50	1.44
1	50936170	50936830	661	232	11	75.95	3.16	1.46	1.46
1	51198333	51199031	699	250	17	115.29	3.79	1.95	1.44
1	51208515	51209240	726	487	11	51.78	2.22	2.78	2.78
1	51212610	51213335	726	473	11	50.61	2.19	3.10	3.10
1	51701472	51702195	724	240	12	112.60	4.49	1.85	1.44
1	51726304	51727231	928	376	21	185.91	4.26	3.05	1.44
1	51755372	51756246	875	250	13	69.43	2.82	1.49	1.48
1	51757681	51758761	1081	387	23	170.50	3.88	2.87	1.44
1	52116725	52118046	1322	669	34	149.52	3.10	2.62	1.44
1	52940580	52941337	758	250	12	71.90	2.26	1.52	1.48
1	53421267	53422643	1377	686	90	1237.87	17.05	0.00	0.00
1	53435890	53436871	982	728	18	86.57	2.21	1.64	1.44
1	53529350	53530614	1265	658	32	183.90	4.12	2.99	1.44
1	54127603	54128694	1092	616	18	53.24	2.05	2.52	2.52
1	54308699	54309447	749	500	13	50.63	2.18	3.11	3.10
1	54343730	54344958	1229	656	25	229.77	7.30	3.12	1.44
1	54503896	54505289	1394	725	31	236.37	7.05	3.27	1.44
1	54601771	54602973	1203	540	22	155.78	4.65	2.40	1.44
1	54623308	54624026	719	477	11	79.79	3.15	1.48	1.44
1	54645628	54646798	1171	355	27	101.28	2.52	1.66	1.44
1	55002778	55003555	778	556	13	65.00	2.39	1.68	1.68
1	55441477	55442238	762	236	11	67.03	2.86	1.61	1.60
1	55626507	55627230	724	343	11	75.47	3.45	1.50	1.48
1	55666980	55668254	1275	606	25	79.94	2.24	1.48	1.44
1	55720753	55721485	733	502	11	53.50	2.63	2.48	2.48
1	55742465	55743207	743	246	11	57.70	2.47	2.01	2.01
1	55744698	55746042	1345	694	38	177.01	4.43	2.92	1.44
1	55761560	55762607	1048	510	16	80.00	2.77	1.49	1.44
1	55988199	55989451	1253	553	34	199.88	4.33	3.25	1.44
1	55993903	55994967	1065	433	17	76.30	2.39	1.45	1.44
1	56367767	56368554	788	416	13	113.39	4.47	1.88	1.44
1	57549394	57550330	937	416	14	73.16	2.82	1.54	1.48
1	60130949	60132118	1170	566	23	60.11	2.03	1.84	1.83
1	61289757	61290440	684	439	11	60.59	2.36	1.81	1.80
1	61323275	61324308	1034	488	18	99.21	2.91	1.64	1.44
1	61357422	61358369	948	294	19	101.05	2.49	1.65	1.44
1	61390433	61391436	1004	366	17	67.13	2.33	1.59	1.59
1	61429076	61429807	732	497	12	58.84	2.17	1.95	1.93
1	61930231	61931247	1017	389	17	137.44	5.60	2.19	1.44
1	62673643	62674388	746	255	12	67.71	2.47	1.56	1.56
1	63065442	63066181	740	323	11	76.46	3.56	1.45	1.44
1	63930212	63931242	1031	360	18	65.63	2.18	1.67	1.66
1	64987993	64988731	739	495	11	67.80	2.80	1.57	1.56
1	66370604	66371376	773	549	11	61.93	2.33	1.73	1.71
1	67159509	67160316	808	381	12	54.29	2.58	2.39	2.39
1	67169075	67170115	1041	632	18	84.83	2.02	1.59	1.44
1	67171619	67172693	1075	421	17	60.00	2.58	1.85	1.85
1	67218613	67219754	1142	623	28	234.18	8.10	3.23	1.44
1	67341984	67343237	1254	558	21	125.14	3.23	2.13	1.44
1	67924838	67925886	1049	594	19	71.95	2.42	1.52	1.48
1	67951558	67952499	942	691	17	81.79	2.49	1.56	1.44
1	68053459	68055220	1762	332	29	121.26	2.36	2.00	1.44
1	68070264	68071056	793	241	14	59.84	2.84	1.87	1.86
1	70443546	70444640	1095	579	23	97.72	2.74	1.70	1.44
1	70459175	70459912	738	231	11	58.89	2.49	1.95	1.93
1	70570131	70570879	749	207	11	57.10	2.47	2.09	2.08
1	70612106	70612846	741	315	11	125.14	5.43	2.12	1.44
1	74038243	74038991	749	520	11	63.59	2.30	1.71	1.71
1	74219004	74219716	713	229	11	54.30	2.26	2.40	2.39
1	76023964	76026507	2544	2016	49	155.84	2.10	2.41	1.44
1	76833545	76834401	857	435	13	71.32	3.88	1.58	1.48
1	77838971	77839705	735	494	12	61.78	2.58	1.72	1.71
1	77867719	77868504	786	475	12	64.15	2.49	1.74	1.71
1	78186741	78187513	773	253	12	71.90	2.69	1.52	1.48
1	78206391	78207164	774	253	12	57.65	2.26	2.05	2.05
1	78215713	78216690	978	374	20	107.31	3.32	1.80	1.44
1	78467903	78468642	740	348	14	96.94	3.17	1.67	1.44
1	78475298	78476329	1032	538	25	96.73	2.77	1.66	1.44
1	78815334	78816094	761	506	11	71.44	3.01	1.58	1.48
1	78929029	78929771	743	252	11	57.70	2.47	2.01	2.01
1	81691444	81692211	768	514	11	55.24	2.11	2.23	2.23
1	84140343	84141135	793	474	12	64.94	3.62	1.68	1.68
1	84411928	84413594	1667	672	31	105.00	2.28	1.72	1.44
1	84427152	84427913	762	236	11	68.71	2.50	1.49	1.48
1	84441392	84442378	987	448	14	72.64	2.95	1.55	1.48
1	84510143	84511655	1513	1057	33	177.11	2.88	2.93	1.44
1	84540215	84541308	1094	584	18	59.28	2.42	1.96	1.93
1	85535685	85536966	1282	585	21	95.06	3.88	1.66	1.44
1	85697970	85699147	1178	660	25	53.59	2.02	2.47	2.47
1	85930572	85931421	850	379	13	57.34	2.68	2.08	2.08
1	86081894	86082621	728	485	11	85.87	4.42	1.61	1.44
1	87344869	87346021	1153	431	33	239.50	4.65	3.36	1.44
1	87922740	87923527	788	255	13	71.80	2.61	1.51	1.48
1	88923250	88924096	847	235	13	64.56	3.23	1.71	1.70
1	88937094	88937820	727	484	11	73.35	3.37	1.54	1.48
1	89129424	89130480	1057	532	14	54.18	2.91	2.39	2.39
1	89259518	89260711	1194	638	20	64.95	2.42	1.68	1.68
1	89936493	89937392	900	670	13	71.97	2.61	1.52	1.48
1	90104078	90104827	750	287	11	57.00	2.47	2.08	2.08
1	91157248	91158018	771	298	13	73.03	2.26	1.56	1.48
1	91194533	91195338	806	274	13	69.74	2.28	1.51	1.48
1	91212191	91213113	923	539	13	64.66	2.82	1.69	1.69
1	91260390	91261520	1131	906	23	111.72	2.84	1.88	1.44
1	91641809	91642504	696	494	13	87.57	3.06	1.64	1.44
1	92069024	92069702	679	290	11	57.93	2.58	2.03	2.01
1	92116317	92117062	746	522	11	64.68	3.10	1.69	1.69
1	92129498	92130199	702	444	11	76.20	2.95	1.44	1.44
1	92373974	92374723	750	373	11	87.76	3.62	1.65	1.44
1	93489182	93490013	832	404	14	183.77	6.74	2.98	1.44
1	93688179	93688881	703	202	12	78.39	2.63	1.53	1.44
1	93767925	93768884	960	514	16	75.13	2.42	1.49	1.48
1	93829277	93830041	765	550	12	54.75	2.46	2.36	2.35
1	93909940	93910907	968	420	22	115.54	3.15	1.96	1.44
1	94082520	94083272	753	305	12	66.93	2.47	1.61	1.60
1	94447009	94447827	819	517	13	67.55	2.26	1.60	1.59
1	94674311	94675096	786	534	13	71.27	2.91	1.58	1.48
1	94676607	94677378	772	536	12	57.86	2.26	2.03	2.01
1	94722916	94723612	697	256	23	241.46	6.35	3.43	1.44
1	94954313	94955071	759	507	11	69.03	3.33	1.50	1.48
1	95200527	95201171	645	415	12	59.89	2.21	1.87	1.86
1	95333962	95334808	847	432	14	143.90	5.54	2.41	1.44
1	96986063	96986958	896	241	14	104.00	3.19	1.69	1.44
1	97017229	97017965	737	484	11	68.02	3.60	1.50	1.50
1	97909283	97910035	753	253	11	79.91	4.25	1.48	1.44
1	99927822	99928475	654	235	11	54.77	2.68	2.37	2.35
1	100150335	100151041	707	474	11	68.90	2.71	1.50	1.48
1	100212254	100213106	853	241	13	57.04	2.09	2.08	2.08
1	100275560	100276622	1063	544	17	73.98	2.33	1.54	1.48
1	100697861	100698633	773	238	11	59.67	2.26	1.90	1.89
1	101007960	101008664	705	411	11	85.43	3.31	1.59	1.44
1	101482898	101483932	1035	514	15	68.90	3.03	1.50	1.48
1	107880076	107881141	1066	476	16	70.95	2.58	1.57	1.48
1	108027370	108028139	770	249	12	76.59	4.44	1.46	1.44
1	108126151	108127009	859	251	13	87.96	3.37	1.66	1.44
1	108558245	108559290	1046	735	24	227.87	6.89	3.09	1.44
1	108917498	108918392	895	293	14	110.67	3.39	1.86	1.44
1	109209466	109210371	906	571	17	58.86	2.15	1.95	1.93
1	109558613	109559996	1384	913	26	124.41	2.21	2.09	1.44
1	109753607	109754436	830	551	12	52.23	3.23	2.76	2.76
1	109771165	109772001	837	591	15	95.58	3.17	1.68	1.44
1	110349046	110349925	880	251	15	53.14	2.42	2.53	2.53
1	110378057	110379039	983	544	15	65.04	2.77	1.69	1.68
1	110682509	110683846	1338	703	25	73.05	2.24	1.56	1.48
1	111307915	111308638	724	425	12	94.04	2.77	1.66	1.44
1	111963239	111964057	819	400	12	53.25	2.91	2.52	2.52
1	112098671	112100669	1999	1324	160	2675.42	34.29	0.00	0.00
1	112981485	112982413	929	589	23	215.21	5.81	3.04	1.44
1	113193885	113194606	722	231	11	85.51	3.39	1.59	1.44
1	113365465	113366629	1165	708	21	108.59	2.98	1.78	1.44
1	113737624	113739034	1411	888	28	128.02	2.33	2.11	1.44
1	113878471	113879289	819	579	14	119.08	3.83	2.00	1.44
1	114154769	114155506	738	449	12	53.35	2.33	2.51	2.51
1	114340711	114341426	716	476	11	90.60	4.08	1.67	1.44
1	114380549	114381239	691	451	11	83.11	3.15	1.58	1.44
1	114996972	114997697	726	242	13	86.77	3.87	1.65	1.44
1	115060322	115061735	1414	794	42	414.68	9.16	2.37	1.44
1	117066187	117067355	1169	570	22	178.50	4.74	2.99	1.44
1	118201490	118202152	663	406	12	77.77	2.82	1.50	1.44
1	119674687	119675809	1123	494	28	136.57	4.52	2.17	1.44
1	120094412	120095261	850	403	13	91.14	3.45	1.64	1.44
1	120207505	120208504	1000	374	16	79.43	2.96	1.50	1.44
1	144000156	144001062	907	333	15	69.83	2.68	1.52	1.48
1	144300727	144301378	652	444	12	65.03	2.98	1.69	1.68
1	144405470	144406270	801	518	13	77.56	2.47	1.49	1.44
1	145109409	145111469	2061	1216	170	2835.68	30.95	0.00	0.00
1	145153187	145153925	739	547	11	58.10	2.11	2.00	1.99
1	145181727	145182509	783	513	13	97.12	3.37	1.68	1.44
1	145354959	145356252	1294	672	34	280.94	6.14	3.26	1.44
1	145655544	145656285	742	255	11	73.48	3.01	1.55	1.48
1	148137263	148138331	1069	657	17	60.58	2.33	1.81	1.80
1	148247638	148248868	1231	478	21	81.26	2.07	1.54	1.44
1	148249397	148250418	1022	498	16	84.67	3.52	1.59	1.44
1	148867792	148869203	1412	472	27	97.26	2.28	1.68	1.44
1	148910712	148911297	586	348	11	69.33	2.58	1.49	1.48
1	148934819	148935892	1074	681	28	168.12	4.12	2.80	1.44
1	148936082	148937062	981	293	20	117.24	3.28	2.02	1.44
1	149071308	149072243	936	592	17	122.51	4.61	2.04	1.44
1	150012876	150013607	732	286	11	66.16	2.71	1.60	1.60
1	150174208	150174974	767	254	11	52.71	2.38	2.65	2.64
1	151749846	151750781	936	628	16	78.64	2.75	1.54	1.44
1	151775306	151776152	847	388	15	84.10	2.56	1.61	1.44
1	151909625	151911040	1416	698	29	142.04	3.36	2.36	1.44
1	152197300	152198015	716	516	12	51.74	2.49	2.78	2.78
1	152846239	152846966	728	380	11	79.73	3.19	1.48	1.44
1	152866709	152867807	1099	397	23	139.19	4.17	2.26	1.44
1	153212474	153214891	2418	980	75	277.99	4.77	3.18	1.44
1	153333886	153334993	1108	489	18	137.37	4.61	2.19	1.44
1	153477220	153478577	1358	636	47	485.84	11.63	2.94	1.44
1	153498538	153499507	970	486	17	52.09	2.15	2.79	2.78
1	153887616	153888369	754	511	11	56.60	2.47	2.13	2.12
1	154079432	154080198	767	399	12	82.59	3.45	1.56	1.44
1	154166605	154167382	778	214	15	77.07	2.20	1.48	1.44
1	154517716	154520669	2954	1705	328	3100.00	31.98	0.00	0.00
1	154737400	154738477	1078	524	17	84.00	2.91	1.60	1.44
1	154965118	154965835	718	254	12	51.92	2.50	2.79	2.78
1	154976780	154978248	1469	785	37	66.66	2.13	1.62	1.60
1	155280431	155281598	1168	643	19	67.01	3.10	1.61	1.60
1	155375008	155375730	723	511	11	59.07	2.79	1.94	1.93
1	155469504	155470228	725	528	11	71.84	2.89	1.51	1.48
1	155606406	155607128	723	474	11	57.07	2.38	2.08	2.08
1	156414110	156415365	1256	498	43	473.00	9.87	2.86	1.44
1	157484081	157484829	749	447	11	65.94	2.77	1.61	1.61
1	158463787	158464769	983	370	23	249.21	8.83	3.32	1.44
1	159226273	159227071	799	220	12	86.17	2.80	1.62	1.44
1	159390314	159391271	958	534	15	130.22	5.46	2.09	1.44
1	160442291	160444521	2231	565	52	133.33	2.91	2.08	1.44
1	160511892	160513015	1124	551	22	151.25	3.52	2.53	1.44
1	160604602	160605405	804	242	12	58.70	2.04	1.94	1.93
1	160625377	160626044	668	337	12	91.12	3.30	1.64	1.44
1	160627943	160628739	797	503	18	122.71	3.28	2.05	1.44
1	160651982	160652746	765	566	11	71.02	2.58	1.57	1.48
1	160804153	160805086	934	332	14	80.85	2.66	1.52	1.44
1	160806572	160807398	827	569	12	76.00	2.58	1.47	1.46
1	160926302	160927018	717	470	11	73.60	2.92	1.55	1.48
1	161526660	161527355	696	444	11	83.48	2.74	1.59	1.44
1	161802916	161803650	735	466	11	74.25	3.01	1.52	1.48
1	162871845	162872810	966	372	18	88.56	2.21	1.68	1.44
1	162918438	162919680	1243	648	20	53.72	2.51	2.46	2.45
1	162939662	162940828	1167	511	69	1144.45	20.16	0.00	0.00
1	163881562	163882533	972	354	20	82.48	2.28	1.56	1.44
1	163933207	163934199	993	368	16	87.84	2.47	1.66	1.44
1	165464034	165464819	786	530	12	50.29	2.09	3.12	3.12
1	165540400	165541128	729	485	12	69.64	2.82	1.50	1.48
1	165589015	165589766	752	511	13	68.03	2.09	1.50	1.50
1	165655081	165655783	703	244	11	55.34	2.26	2.24	2.23
1	166167460	166168227	768	328	11	50.74	2.65	3.08	3.08
1	166171737	166172794	1058	555	17	91.16	3.37	1.65	1.44
1	166418775	166419412	638	253	11	56.60	2.68	2.13	2.12
1	166521156	166521904	749	504	11	69.69	2.90	1.51	1.48
1	166537223	166538198	976	493	16	100.57	3.49	1.64	1.44
1	166558632	166559620	989	515	13	64.37	3.39	1.73	1.71
1	166583864	166584601	738	335	11	65.52	3.10	1.68	1.67
1	166643232	166645475	2244	1568	54	287.11	3.39	3.02	1.44
1	166713482	166714398	917	427	14	66.96	2.26	1.61	1.60
1	166733980	166734600	621	244	11	80.27	3.52	1.50	1.44
1	166791885	166793256	1372	344	23	116.37	2.26	1.99	1.44
1	166802945	166804144	1200	554	17	98.97	3.67	1.64	1.44
1	167220369	167221118	750	266	11	72.61	3.01	1.54	1.48
1	167345962	167346707	746	229	12	75.80	2.71	1.46	1.46
1	167386165	167387172	1008	632	21	108.83	3.10	1.80	1.44
1	167753071	167754511	1441	720	39	242.27	5.09	3.46	1.44
1	169121689	169122914	1226	627	22	111.22	2.68	1.87	1.44
1	172400197	172400950	754	504	11	60.83	2.98	1.77	1.77
1	173234249	173235716	1468	1090	30	71.90	2.41	1.52	1.48
1	173258017	173259903	1887	1137	324	3100.00	49.56	0.00	0.00
1	174425019	174426592	1574	468	24	124.49	3.29	2.09	1.44
1	174442146	174443302	1157	668	24	188.66	6.59	3.17	1.44
1	176490987	176491718	732	486	11	74.58	3.45	1.53	1.48
1	176580199	176580941	743	246	11	57.70	3.17	2.01	2.01
1	176653564	176654336	773	329	16	68.20	2.05	1.50	1.50
1	176809816	176810522	707	253	11	59.31	2.74	1.94	1.93
1	176962040	176962851	812	334	13	68.32	2.58	1.51	1.50
1	178189605	178190829	1225	807	30	144.53	2.80	2.44	1.44
1	178362233	178363240	1008	639	18	61.53	2.05	1.71	1.71
1	178373091	178374363	1273	635	24	238.61	9.41	3.34	1.44
1	178518793	178519544	752	526	11	50.44	2.58	3.10	3.10
1	179014553	179015468	916	449	13	91.75	4.20	1.67	1.44
1	179371817	179372594	778	522	14	91.72	3.17	1.67	1.44
1	180903333	180904363	1031	480	14	91.73	4.67	1.67	1.44
1	181847845	181848664	820	240	13	60.41	2.39	1.82	1.82
1	182714506	182715287	782	480	12	56.84	2.26	2.11	2.11
1	182991496	182992509	1014	506	13	52.15	3.01	2.79	2.78
1	183041170	183041859	690	256	11	50.63	2.67	3.10	3.10
1	183527603	183528452	850	472	13	68.82	2.38	1.50	1.48
1	183550173	183550967	795	539	14	59.61	2.33	1.90	1.89
1	183632786	183633540	755	522	11	77.69	3.69	1.50	1.44
1	183749838	183751351	1514	747	56	646.36	9.51	0.00	0.00
1	183770255	183771190	936	434	13	55.97	2.91	2.19	2.18
1	183829355	183830105	751	409	11	72.50	3.01	1.54	1.48
1	187579165	187579904	740	498	11	76.46	4.01	1.45	1.44
1	190872492	190873226	735	496	12	60.45	2.54	1.82	1.82
1	191062384	191063462	1079	577	16	54.59	3.05	2.36	2.35
1	191097485	191098522	1038	525	21	151.74	4.58	2.54	1.44
1	191174915	191175977	1063	634	25	136.97	3.15	2.18	1.44
1	191242636	191244531	1896	1406	38	175.27	3.10	3.05	1.44
1	191431469	191432460	992	450	17	67.56	3.33	1.60	1.59
1	191726963	191727750	788	305	12	71.12	2.71	1.57	1.48
1	193829905	193831315	1411	757	31	149.63	3.88	2.62	1.44
