# This file is generated by MACS version 1.4.0rc2 20110214
# ARGUMENTS LIST:
# name = LoVo_GATA2
# format = BAM
# ChIP-seq file = /wrk2/martin/aligned/merged//LoVo_GATA2_Goat.bam
# control file = /wrk2/martin/aligned/merged/LoVo_IgG_Goat.bam
# effective genome size = 2.75e+09
# band width = 300
# model fold = 2,6
# pvalue cutoff = 1.00e-05
# Small dataset will be scaled towards larger dataset.
# Range for calculating regional lambda is: 1000 bps and 10000 bps

# tag size is determined as 36 bps
# total tags in treatment: 12954183
# tags after filtering in treatment: 9568998
# maximum duplicate tags at the same position in treatment = 1
# Redundant rate in treatment: 0.26
# total tags in control: 52744122
# tags after filtering in control: 37934038
# maximum duplicate tags at the same position in control = 1
# Redundant rate in control: 0.28
# d = 307
chr	start	end	length	summit	tags	-10*log10(pvalue)	fold_enrichment	FDR(%)
12	124727917	124729648	1732	844	32	349.45	2.23	25.58	22.48
12	126285826	126286646	821	535	12	137.70	2.14	31.87	31.77
12	127228621	127229537	917	301	15	194.76	2.17	24.68	23.97
12	127383171	127384383	1213	579	18	241.00	2.74	23.97	22.67
12	128152481	128153662	1182	445	15	206.23	2.67	25.00	23.97
12	128992338	128993388	1051	488	17	255.71	2.82	25.00	22.64
12	129274265	129275416	1152	518	21	322.09	3.28	23.68	22.48
12	129633763	129634655	893	342	13	217.07	2.53	24.49	23.97
12	129809866	129810856	991	269	16	213.10	2.04	24.47	23.97
12	129832704	129833612	909	333	12	178.01	2.44	25.90	25.52
12	130212781	130213527	747	289	12	163.66	2.06	26.51	26.33
12	130482893	130483689	797	255	12	195.59	3.26	24.58	23.97
12	130544960	130545828	869	487	13	174.18	2.43	26.03	25.52
12	130589671	130590499	829	411	14	169.44	2.16	26.41	26.13
12	130647235	130648167	933	297	13	154.25	2.09	26.58	26.58
12	130671486	130672334	849	568	12	191.12	3.07	24.06	24.02
12	130733394	130734239	846	562	12	145.90	2.33	29.11	29.08
12	130962874	130964088	1215	579	17	278.36	3.26	27.33	22.64
12	130977661	130978805	1145	602	17	211.45	2.31	24.71	23.97
12	131417128	131418088	961	283	14	216.47	2.62	24.88	23.97
12	131435759	131437052	1294	557	19	201.12	2.04	25.10	23.97
12	131497698	131498856	1159	284	20	270.86	2.39	27.37	22.64
12	131509192	131510163	972	597	14	147.29	2.04	28.54	28.51
12	131517964	131518879	916	292	12	175.18	2.41	25.80	25.52
12	131523560	131524478	919	353	12	199.97	2.80	25.00	23.97
12	131542127	131543025	899	601	12	165.04	2.23	26.59	26.33
12	131550648	131551527	880	560	13	165.56	2.11	26.63	26.33
12	131604522	131605587	1066	765	16	250.73	2.59	23.17	22.64
12	131631058	131631793	736	275	14	187.28	2.30	24.51	24.51
12	131664227	131665096	870	282	12	236.05	3.26	23.95	22.67
12	131924120	131924972	853	289	13	218.51	2.44	24.81	23.97
13	20549228	20550353	1126	648	17	273.69	2.67	27.62	22.64
13	21362571	21363408	838	536	12	153.22	2.41	26.83	26.83
13	22852926	22853868	943	647	14	213.28	3.09	24.59	23.97
13	27379271	27380043	773	371	14	216.81	2.58	24.56	23.97
13	30316360	30317447	1088	583	19	234.92	2.16	24.28	22.67
13	30595606	30596417	812	345	13	178.44	2.33	25.58	25.52
13	106823248	106824232	985	300	14	182.90	2.26	25.19	25.04
13	109325438	109326207	770	401	12	186.64	2.44	24.72	24.64
13	109493415	109494609	1195	443	17	282.41	3.26	26.22	22.64
13	111070992	111071877	886	581	12	170.28	2.27	26.06	26.06
13	111677483	111678356	874	334	13	192.90	2.44	24.51	23.97
13	111905706	111906632	927	497	13	168.16	2.00	26.26	26.13
13	112633266	112634185	920	508	16	170.37	2.06	25.97	25.97
13	112861519	112862189	671	381	12	222.41	2.91	24.40	23.97
13	113052538	113053448	911	290	12	145.92	2.00	29.14	29.08
14	23105702	23107315	1614	1012	35	283.87	2.09	26.42	22.64
14	24634745	24635623	879	614	12	164.58	2.17	26.59	26.33
14	33780451	33781311	861	361	12	159.99	2.07	26.51	26.45
14	64709995	64711211	1217	634	18	272.62	3.12	27.57	22.64
14	68027999	68028975	977	426	14	154.36	2.34	26.56	26.53
14	72790055	72790966	912	283	12	206.96	2.53	25.32	23.97
14	74511941	74512827	887	472	12	180.56	2.11	25.56	25.37
14	75808383	75809452	1070	408	15	230.80	3.02	23.28	22.67
14	76392324	76393243	920	659	13	206.21	3.07	24.95	23.97
14	76811463	76812730	1268	660	18	198.14	2.17	25.38	23.97
14	80356096	80357015	920	419	13	201.08	2.69	25.05	23.97
14	90828976	90829864	889	424	12	189.83	2.87	24.41	24.38
14	97063691	97064545	855	556	13	212.92	2.67	24.41	23.97
14	99223406	99224717	1312	530	19	227.10	2.29	23.10	23.10
14	99674467	99675337	871	581	13	179.14	2.26	25.59	25.51
14	100062577	100063821	1245	594	29	406.39	2.91	36.59	22.48
14	100242530	100243444	915	637	13	200.40	2.67	25.10	23.97
14	100555878	100557088	1211	635	20	241.70	2.04	24.13	22.67
14	101143302	101144429	1128	500	21	326.21	2.33	24.30	22.48
14	102617685	102618569	885	596	12	191.11	2.24	24.02	24.02
14	103750617	103752124	1508	708	25	399.85	2.99	31.91	22.48
14	104233083	104234047	965	588	13	229.96	2.56	22.87	22.67
14	104409087	104410385	1299	620	20	359.22	3.66	26.67	22.48
14	105159473	105160388	916	269	12	188.12	2.61	24.47	24.39
14	105220304	105221219	916	611	13	354.92	4.56	26.58	22.48
14	105395248	105396104	857	416	12	247.99	4.29	23.42	22.67
15	19280679	19281950	1272	665	24	259.84	2.44	26.15	22.64
15	25590973	25591845	873	499	12	130.26	2.17	34.55	34.55
15	26023924	26024764	841	302	12	180.42	2.57	25.45	25.37
15	27193595	27194700	1106	726	17	257.06	2.71	25.43	22.64
15	39032661	39034067	1407	374	44	372.11	2.08	25.37	22.48
15	39566651	39568063	1413	800	28	295.68	2.17	25.00	22.64
15	39607675	39608501	827	295	12	138.63	2.17	31.86	31.77
15	39632660	39633780	1121	467	15	132.32	2.11	33.85	33.78
15	39937556	39938862	1307	527	21	304.65	2.76	23.02	22.64
15	66320718	66321531	814	517	13	137.80	2.21	31.96	31.77
15	67464948	67465930	983	494	24	397.64	2.49	30.00	22.48
15	67740640	67742093	1454	695	23	213.39	2.06	24.47	23.97
15	68694643	68695845	1203	731	20	250.20	2.30	23.08	22.64
15	72493406	72494808	1403	770	18	185.89	2.51	25.12	24.88
15	72677300	72678520	1221	664	26	289.21	2.37	26.14	22.64
15	72951799	72953364	1566	793	46	305.59	2.05	23.53	22.64
15	73314191	73315095	905	282	15	197.43	2.17	25.14	23.97
15	75096678	75097527	850	501	13	166.66	2.05	26.88	26.33
15	77326683	77327280	598	299	12	157.18	2.09	26.93	26.46
15	78694163	78695554	1392	743	22	168.43	2.09	26.30	26.13
15	81394688	81395857	1170	583	19	258.13	2.31	26.01	22.64
15	87754299	87755468	1170	563	18	233.60	2.56	24.14	22.67
15	99018030	99019002	973	685	14	171.32	2.33	25.59	25.59
16	73608	74632	1025	551	15	234.09	2.35	24.21	22.67
16	79467	80270	804	268	12	179.36	2.44	25.52	25.51
16	631124	631818	695	325	16	271.91	2.89	27.66	22.64
16	809339	810349	1011	597	15	323.67	3.91	24.32	22.48
16	1022441	1023335	895	599	12	230.99	2.44	23.35	22.67
16	1063489	1064683	1195	615	16	169.37	2.44	26.38	26.13
16	1333041	1334082	1042	618	18	214.81	2.11	25.00	23.97
16	1722197	1723132	936	648	13	213.81	2.61	24.58	23.97
16	2700600	2701486	887	588	14	318.89	3.52	22.69	22.48
16	2953515	2954373	859	397	13	168.52	2.09	26.33	26.13
16	3390794	3391689	896	285	13	107.99	2.01	52.48	52.48
16	4306598	4307952	1355	596	22	299.33	2.09	24.14	22.64
16	5405604	5406687	1084	383	14	193.03	2.62	24.65	23.97
16	17745037	17746260	1224	628	17	279.01	3.29	27.06	22.64
16	19636589	19637728	1140	527	15	126.20	2.07	38.06	38.06
16	20140258	20140943	686	422	12	192.67	2.51	24.47	23.97
16	22788818	22789690	873	439	12	159.04	2.08	26.69	26.46
16	25832698	25833640	943	498	14	191.18	2.00	24.14	24.02
16	27788596	27789636	1041	419	14	211.57	2.77	24.77	23.97
16	28197410	28198454	1045	446	14	171.83	2.76	25.76	25.52
16	28420347	28421223	877	218	12	176.37	2.04	25.92	25.52
16	29729070	29729949	880	271	12	110.38	2.11	50.28	50.28
16	30002428	30003369	942	292	14	195.86	2.31	24.81	23.97
16	31012858	31014072	1215	522	23	236.12	2.33	24.03	22.67
16	31361570	31362461	892	295	16	176.70	2.23	25.86	25.52
16	49152341	49153265	925	305	13	148.59	2.45	28.17	28.11
16	49830183	49831033	851	386	12	141.63	2.05	30.94	30.88
16	53854735	53856003	1269	574	17	161.47	2.04	26.61	26.33
16	54615549	54616323	775	492	12	205.18	2.13	24.79	23.97
16	55321108	55322247	1140	676	18	160.83	2.48	26.39	26.33
16	55621157	55622388	1232	611	14	117.74	2.17	44.35	44.31
16	56077991	56078820	830	294	12	160.88	2.51	26.42	26.33
16	65822597	65823496	900	301	12	115.05	2.02	46.62	46.62
16	68345480	68346897	1418	801	35	338.44	2.56	26.04	22.48
16	69975681	69976825	1145	546	14	184.31	2.93	25.08	24.96
16	71567011	71567876	866	587	12	142.22	2.09	30.40	30.40
16	78377497	78378328	832	536	12	160.48	2.00	26.53	26.41
16	82543719	82545307	1589	840	30	270.27	2.01	27.08	22.64
16	82640547	82641460	914	611	12	218.64	2.71	24.87	23.97
16	82643180	82644096	917	281	12	198.50	3.47	25.53	23.97
16	83105123	83106167	1045	455	17	239.15	2.85	23.99	22.67
16	83521185	83522284	1100	430	17	222.22	2.56	24.60	23.97
16	83836463	83837766	1304	573	22	182.82	2.07	25.11	25.04
16	83991182	83992066	885	602	13	195.23	2.23	24.73	23.97
16	84162915	84164074	1160	687	20	253.16	2.65	23.89	22.64
16	84712772	84713697	926	277	13	136.32	2.07	32.01	32.01
16	84803556	84804479	924	626	14	195.08	2.00	24.68	23.97
16	85522841	85523976	1136	516	14	159.35	2.54	26.78	26.46
16	85908017	85909120	1104	303	28	431.80	2.61	39.39	22.48
16	86225760	86227015	1256	772	19	241.71	3.02	24.21	22.67
16	86508255	86509267	1013	546	15	162.42	2.04	26.97	26.33
16	86555562	86556459	898	418	12	157.08	2.12	26.90	26.46
16	86917890	86918747	858	557	13	268.41	3.58	26.77	22.64
16	86974650	86975949	1300	540	19	232.98	3.26	24.22	22.67
16	86995631	86996483	853	497	12	271.85	3.40	27.51	22.64
16	87036562	87037612	1051	523	16	306.89	3.26	24.06	22.64
16	87048275	87049287	1013	709	16	244.93	3.47	24.19	22.67
16	87112143	87113196	1054	396	14	239.52	2.86	24.07	22.67
16	87460323	87461184	862	561	12	231.13	3.53	23.42	22.67
16	88454153	88455070	918	300	12	196.49	3.09	24.95	23.97
16	88501428	88502506	1079	637	15	176.09	2.33	25.85	25.52
16	88507945	88508725	781	303	15	214.42	2.65	24.70	23.97
